,storeid,createtime
314,1365940682635743232,1673327367136
315,1365940896457166848,1670998842689
316,1365940896457166848,1672907865436
317,1365940900680830976,1672486545824
318,1365940909019107328,1672385060905
319,1365940909019107328,1674026844726
320,1365941105278980096,1671849626933
321,1365942043427344384,1670905580385
322,1365942080781815808,1673243261918
323,1366994992157036544,1672996573229
324,1366995074793213952,1672205565105
325,1366995134616571904,1671005482588
326,1366995243253239808,1672541456791
327,1366995257778114560,1672906311117
328,1366995261339078656,1673844354650
329,1366995295556210688,1671158541905
330,1366995304884342784,1671159875170
331,1367272645,1671164957432
332,1367292237687427072,1671678397538
333,1367292237687427072,1672454524504
334,1367292237687427072,1673239860249
335,1367292524057726976,1671351320088
336,1367361607314837504,1674032662300
337,1367361611387506688,1671856615146
338,1367361648968470528,1672203007496
339,1367361660901265408,1672989522142
340,1367361660901265408,1672989573078
341,1367361660901265408,1672989544142
342,1367361664940380160,1671261605122
343,1367362121301626880,1673070045819
344,1367362335236296704,1670928353100
345,1367362336129683456,1671162285288
346,1367362336129683456,1671162275465
347,1367363622480777216,1673075777112
348,1369129116669972480,1671011388829
349,1369129117378809856,1671010968997
350,1369129118662266880,1671014744354
351,1369450309327392768,1672821240173
352,1369453516162207744,1671948998035
353,1369457644527554560,1670986159458
354,1369457645764874240,1671350471631
355,1369457646427574272,1671335366758
356,1369457646993805312,1671332655497
357,1369457654539358208,1671344027084
358,1369459982256443392,1672379940924
359,1369459982256443392,1673068580013
360,1369459988317212672,1672298054810
361,1369578083232911360,1670911353853
362,1369578092418437120,1670916794406
363,1369578092418437120,1673490815061
364,1369902158836797440,1672024474068
365,1369902161806364672,1672016135985
366,1369902161806364672,1672016169437
367,1369902176972967936,1672024148846
368,1369903084305780736,1671858818048
369,1369903084305780736,1672812277507
370,1369903084305780736,1672978482861
371,1369955255105753088,1671931547496
372,1369957593841274880,1672650127089
373,1370217907929354240,1671417213309
374,1370217910479491072,1671608226649
375,1370217910479491072,1671608264649
376,1370217910479491072,1672630883871
377,1370217911746170880,1671605465610
378,1370217911746170880,1671605423610
379,1370217911746170880,1672628756958
380,1370217912358539264,1671605233204
381,1370217912924770304,1671337456140
382,1370217912924770304,1672625487726
383,1370217915235831808,1671609567089
384,1370217916498317312,1671606738669
385,1370217916498317312,1671606672620
386,1370217916498317312,1672627457336
387,1370217917072936960,1671606486344
388,1370217917072936960,1671606500661
389,1370217917072936960,1672626797794
390,1370217924505243648,1671329557543
391,1370217924505243648,1671672585085
392,1370217925067280384,1671518177554
393,1370217932088545280,1671525394145
394,1370302500363702272,1672801449374
395,1370314447482130432,1671848087196
396,1370314505493549056,1670985822010
397,1370314516226772992,1671936304325
398,1370324272966406144,1671758368398
399,1370324272966406144,1672195530069
